Date,Open,High,Low,Close,Adj Close,Volume
2022-12-12,315.000000,317.000000,307.049988,310.200012,310.200012,2657723
2022-12-13,310.500000,325.700012,310.500000,323.000000,323.000000,6144873
2022-12-14,322.799988,326.899994,317.350006,319.350006,319.350006,3340492
2022-12-15,320.649994,322.549988,314.500000,315.450012,315.450012,1720989
2022-12-16,315.000000,317.700012,306.000000,307.899994,307.899994,4178496
2022-12-19,309.000000,309.899994,301.000000,305.799988,305.799988,3057699
2022-12-20,306.000000,308.950012,301.200012,305.750000,305.750000,2087377
2022-12-21,308.000000,308.899994,290.500000,290.500000,290.500000,4144435
2022-12-22,290.000000,290.500000,276.000000,276.000000,276.000000,5151717
2022-12-23,267.149994,267.700012,262.200012,262.200012,262.200012,3250142
2022-12-26,249.100006,275.299988,249.100006,275.299988,275.299988,2619914
2022-12-27,274.500000,289.049988,271.100006,289.049988,289.049988,2420865
2022-12-28,292.750000,303.500000,289.600006,303.500000,303.500000,1806215
2022-12-29,305.000000,308.399994,291.299988,304.500000,304.500000,2360636
2022-12-30,305.899994,308.000000,298.000000,299.549988,299.549988,1391817
2023-01-02,303.000000,304.899994,293.299988,298.149994,298.149994,1737675
2023-01-03,298.149994,301.000000,293.500000,294.750000,294.750000,1411312
2023-01-04,294.750000,296.000000,284.549988,286.600006,286.600006,1643562
2023-01-05,287.950012,293.200012,277.000000,288.750000,288.750000,1868579
2023-01-06,290.700012,291.000000,281.100006,283.399994,283.399994,2199728
2023-01-09,286.950012,294.000000,285.200012,287.700012,287.700012,1770223
2023-01-10,287.950012,287.950012,274.649994,279.200012,279.200012,2577634
2023-01-11,281.799988,283.399994,274.549988,276.200012,276.200012,1976038
2023-01-12,277.649994,280.700012,270.049988,273.649994,273.649994,2016739
2023-01-13,274.899994,280.000000,272.000000,278.700012,278.700012,1512469
2023-01-16,281.000000,282.200012,271.500000,272.950012,272.950012,1956213
2023-01-17,273.450012,283.250000,271.750000,281.950012,281.950012,2342614
2023-01-18,282.500000,283.000000,277.000000,278.700012,278.700012,1202697
2023-01-19,276.500000,280.450012,273.200012,277.549988,277.549988,1376944
2023-01-20,276.850006,277.000000,273.399994,275.049988,275.049988,1047243
2023-01-23,275.450012,276.700012,271.149994,273.200012,273.200012,1204085
2023-01-24,274.700012,279.299988,272.299988,274.649994,274.649994,1465473
2023-01-25,273.000000,273.000000,260.950012,261.000000,261.000000,3626722
2023-01-27,250.000000,250.050003,247.949997,247.949997,247.949997,2322603
2023-01-30,235.550003,235.550003,235.550003,235.550003,235.550003,1475925
2023-01-31,223.800003,223.800003,223.800003,223.800003,223.800003,1489382
2023-02-01,219.000000,223.000000,212.649994,212.649994,212.649994,14476793
2023-02-02,202.050003,202.050003,202.050003,202.050003,202.050003,768655
2023-02-03,191.949997,191.949997,191.949997,191.949997,191.949997,990679
2023-02-06,182.350006,182.350006,182.350006,182.350006,182.350006,993619
2023-02-07,173.250000,186.000000,173.250000,173.250000,173.250000,122308732
2023-02-08,173.250000,181.899994,171.000000,181.899994,181.899994,27906893
2023-02-09,172.800003,172.800003,172.800003,172.800003,172.800003,4471756
2023-02-10,164.199997,164.199997,164.199997,164.199997,164.199997,2082042
2023-02-13,156.000000,163.000000,156.000000,156.000000,156.000000,5574579
2023-02-14,148.199997,148.199997,148.199997,148.199997,148.199997,940729
2023-02-15,140.800003,140.800003,140.800003,140.800003,140.800003,1576621
2023-02-16,142.000000,147.800003,142.000000,147.800003,147.800003,20084998
2023-02-17,152.449997,155.149994,152.050003,155.149994,155.149994,3197811
2023-02-20,158.250000,162.899994,150.800003,162.899994,162.899994,29505822
2023-02-21,166.899994,171.000000,166.199997,171.000000,171.000000,6646310
2023-02-22,177.000000,178.899994,162.449997,162.449997,162.449997,25913753
2023-02-23,156.050003,158.649994,154.350006,154.350006,154.350006,22738196
2023-02-24,150.100006,156.699997,146.649994,146.649994,146.649994,12016838
2023-02-27,142.050003,145.600006,139.350006,139.350006,139.350006,9057254
2023-02-28,135.100006,146.300003,132.399994,146.300003,146.300003,27171503
2023-03-01,153.000000,153.600006,152.149994,153.600006,153.600006,1372548
2023-03-02,161.250000,161.250000,161.250000,161.250000,161.250000,1030431
2023-03-03,169.300003,169.300003,169.300003,169.300003,169.300003,648028
2023-03-06,177.750000,177.750000,177.750000,177.750000,177.750000,2877047
2023-03-08,183.100006,186.600006,175.100006,186.600006,186.600006,19786702
2023-03-09,195.899994,195.899994,188.149994,195.899994,195.899994,43138384
2023-03-10,193.000000,205.649994,187.250000,204.899994,204.899994,34315072
2023-03-13,211.699997,215.100006,211.050003,215.100006,215.100006,22286761
2023-03-14,217.350006,217.350006,204.350006,204.350006,204.350006,14455921
2023-03-15,194.149994,214.550003,194.149994,201.800003,201.800003,45364592
2023-03-16,200.500000,205.949997,195.199997,198.699997,198.699997,17003632
2023-03-17,203.850006,205.300003,198.250000,199.949997,199.949997,11391354
2023-03-20,193.000000,196.800003,189.949997,190.199997,190.199997,12119227
2023-03-21,191.899994,199.699997,186.550003,199.699997,199.699997,12141316
2023-03-22,203.149994,207.699997,201.149994,204.050003,204.050003,10063003
2023-03-23,201.699997,211.399994,200.300003,201.399994,201.399994,14688196
2023-03-24,202.550003,204.000000,192.149994,192.600006,192.600006,13774170
2023-03-27,195.600006,195.600006,183.000000,183.000000,183.000000,8057710
2023-03-28,178.949997,183.000000,173.850006,173.850006,173.850006,5385184
2023-03-29,167.000000,182.500000,166.399994,182.500000,182.500000,16463799
2023-03-31,190.449997,191.600006,188.649994,191.600006,191.600006,7735789
2023-04-03,195.000000,195.949997,186.000000,190.550003,190.550003,8826718
2023-04-05,189.000000,194.000000,186.399994,190.100006,190.100006,6249626
2023-04-06,191.300003,196.949997,187.100006,192.199997,192.199997,11740797
2023-04-10,193.399994,197.699997,193.000000,194.000000,194.000000,6052568
2023-04-11,194.300003,198.300003,193.100006,194.000000,194.000000,5731535
2023-04-12,194.899994,196.899994,191.600006,192.449997,192.449997,6182146
2023-04-13,192.449997,193.800003,188.100006,189.149994,189.149994,3351950
2023-04-17,189.300003,192.000000,187.750000,189.449997,189.449997,3092968
2023-04-18,190.350006,191.500000,187.199997,188.350006,188.350006,2348374
2023-04-19,188.800003,189.449997,185.199997,187.300003,187.300003,3119628
